"tweet","text","location"
109,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
110,"Pompeo discusses China at the National Governors Association https://t.co/K6RSBqBUJG

How many of our governors are compromised by the Chinese Communist Party 🇨🇳?  

Is this why @GovKemp @dougducey @SteveSisolak @GovernorTomWolf @GovWhitmer @GovEvers are avoiding election audits? https://t.co/XPfVmJCsit","New Mexico"
111,"@aaronjmate No disrespect but you’re way off on this one. Please show me where this suppression was taking place election night. I have plenty of proof Democrats had long ass lines in their primaries. And how did Trump get more people of color to vote for him if they suppressed that vote?","New Mexico"
112,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
113,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","New Mexico"
114,"@realDonaldTrump They cheated from the start ! we were robbed of real debates .Puppet joe was not hit with real questions to avoid us from seeing his dementia.The voting started before final debate. The media suppressed votes claiming a trump loss election day. Then we were cheated at the ballots","New Mexico"
115,"Amazing","New Mexico"
116,"Pelosi on Election Day: ""Democrats are poised to further strengthen our majority.""

Pelosi today: ""I never said that we were going to pick up"" seats. https://t.co/6s14zfA3LO","New Mexico"
117,"Would you like to read a point-by-point rejection of election fraud allegations in Michigan, showing why they're not credible? 
That exists now, from a judge. 

Read it here: https://t.co/wnM4WRAbMM","New Mexico"
118,"Native American voters turned out and helped flip Arizona for Biden https://t.co/SIP0f3QZZ0","New Mexico"
119,"Thanks Nancy. 

We will fight. https://t.co/u6O5D709Ux","New Mexico"
120,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
121,"Trump Won the Election by a Landslide..... look at the damn numbers below ...

You don't flip 8 states that you were losing in a couple of hours...

This is a Coup ... https://t.co/5ZzJ7QPLH6","New Mexico"
122,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
123,"Major kudos to @MeidasTouch and others for their effective attack on the law firms supporting Donald Trump’s war on democracy.  It was our efforts that caused @JonesDay and others to stand down in this election.  This is how we pressure companies to do the right thing.","New Mexico"
124,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Mexico"
125,"Person. Woman. Man. Election. Landslide.","New Mexico"
126,"“Kennedy's message was simple. He proposed an unabashed quid pro quo. Kennedy would lend Andropov a hand in dealing w/Reagan. In return, the Soviet leader would lend the Dem  Party ‘a hand’ in challenging Reagan [CHEAT] in the 1984 presidential election.”
https://t.co/jTnhMiQqjC https://t.co/zHobCbxFYO","New Mexico"
127,"FACT: @SidneyPowell1 is the role model  for EVERY American who cherishes Freedom, Liberty, Election Integrity &amp; The Truth! Time for Every American to feed off her Courage &amp; Patriotism &amp; Take Our Country Back! @GenFlynn @JosephJFlynn1 @GoJackFlynn @BarbaraRedgate @RichardGrenell","New Mexico"
128,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","New Mexico"
129,"For every illegal ballot that is counted, the integrity of every legal vote is compromised.” -@GOPChairwoman
https://t.co/uesth8MRr2","New Mexico"
130,"@GeraldoRivera @realDonaldTrump Our election was rigged and the machines were giving Biden our great @POTUS votes ! #ReleasetheKracken and #StopTheSteaI","New Mexico"
131,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","New Mexico"
132,"‼️","New Mexico"
133,"Beware folks the Scottish Tories are up to their dirty tricks trying 2 fix next year's Election if it goes ahead They are sending these Letters out 2 folk Do not send your postal vote back 2 these people Make sure if u vote by post you send it back 2 the right place #ToryCheats https://t.co/vp9A3s3X6e","New Mexico"
134,"[disclaimer: this prognostication about events that have not yet come to pass has been described by official as ""something we don't want to happen""]","New Mexico"
135,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","New Mexico"
136,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","New Mexico"
137,"Trump has access to the highest levels of top secret intelligence

If he says there was election fraud, there was election fraud","New Mexico"
138,"The GOP Reps Won big on Election Day in Windham NH But after a recount the Victory was even bigger #nhpolitics #CountEveryLegalVote https://t.co/tPBqBp1egd","New Mexico"
139,"That picture though https://t.co/lLsJH6gBx4","New Mexico"
140,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New Mexico"
141,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
142,"Must be audited.","New Mexico"
143,"Le président #Trump a nommé @RudyGiuliani  pour s'occuper des poursuites judiciaires dans les différents États incriminés dans la fraude électorale des #ElectionsAmericaines.

https://t.co/0M1iPdBcqM","New Mexico"
144,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
145,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Mexico"
146,"@realDonaldTrump 1. Republican Obeservers/Watchers we’re allowed there.
2. You lost the election since Saturday, no adjustments have been made to your favour.

And... Joe Biden is president-elect still.","New Mexico"
147,"https://t.co/vuVOqPQhrV","New Mexico"
148,"“Do we really believe that the party who believes that looting is justified in the name of social justice didn’t steal this election in the name of social justice?” #MillionMAGAMarch #Trump2020 #Recount2020 https://t.co/sL45bdQC9f","New Mexico"
149,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
150,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","New Mexico"
151,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","New Mexico"
152,"FWIW, I do think this ended up mattering to the result.","New Mexico"
153,"🚨🚨1 in 5 Mail-In Ballots Rejected as Fraudulent in NJ Election🚨🚨

NJ 7/7 primary is mail-in only, machine voting for disabled only!

Some rcd no ballot, some rcd wrong party ballot

USPS is NOT a safe means to vote!
#RestoreTheVoteNJ
#VoterFraud
@POTUS
https://t.co/72OdoIxpry","New Mexico"
154,"The outcome of this election will be determined when every legal ballot that has been cast is counted and the legal process has concluded. #Election2020 https://t.co/cO4xaYpKPP","New Mexico"
155,"DOMINION.🗳️

""We began to look and realized how easy it is to change votes.""

Election security expert @RussRamsland has performed many investigations on US election machines.

The most *shocking* thing about this interview is it took place just days BEFORE the election. Watch🔻 https://t.co/53Kcxmne2e","New Mexico"
156,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","New Mexico"
157,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","New Mexico"
158,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","New Mexico"
159,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","New Mexico"
160,"Democrats oppose:

-Voter ID laws
-Auditing the vote 
-The Electoral College

Under their watch, election integrity will become a thing of the past.","New Mexico"
161,"After Donald Trump won the 2016 election, the spying on him did not stop. 
Under orders from the 7th Floor (Comey, McCabe) the FBI intensified their surveillance of Trump's team based on false pretences.
My book exposes it all. 
👇
https://t.co/CI8o3TqTpC","New Mexico"
162,"Democratic senators warned of potential 'vote switching' by Dominion voting machines prior to 2020 election 

Experts in Texas too

https://t.co/8QSvG5JNcP from @AndyMarkMiller for @dcexaminer","New Mexico"
163,"Why is Republican Governor @BrianKempGA involved in a full court press to cheat Georgians out of a fully transparent recount? Something terribly suspicious going on here.","New Mexico"
164,"Yet it lives. The Squad was hitting on ""kids in cages"" prior to the 2020 election. Trump kept lots of kids out if them the last year and a half by strengthening border security. If Biden gets in, it will be seen as ""welcome light on"" and there will be a huge increase of illegals.","New Mexico"
165,"#VoterFraudIsReal 
#TrumpWon","New Mexico"
166,"EXCLUSIVE: In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is STATISTICALLY IMPOSSIBLE - Indicates Obvious Election Fraud @JoeHoft @RealDonaldTrump via @gatewaypundit https://t.co/tm4jj8Aiil","New Mexico"
167,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","New Mexico"
168,"EXCLUSIVE: In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is STATISTICALLY IMPOSSIBLE - Indicates Obvious Election Fraud https://t.co/GNc1Xm2DR8","New Mexico"
169,"This is a federal criminal offense and should be prosecuted immediately. 
@realDonaldTrump 
@TomFitton 
@marklevinshow 
@RudyGiuliani","New Mexico"
170,"The smart money is on Trump!

Gambling sites refuse to call election for Biden, leaving $600M in limbo https://t.co/9rvIdIjAVa","New Mexico"
171,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","New Mexico"
